Store_ID,Month,Product_ID,total_revenue,revenue_percentage,total_units_sold,avg_selling_price,avg_inventory_level,cumulative_percent,abc_class
S001,2022-02,P0046,172747.23442230222,3.83,3721,46.42,186.36,33.86,A
S001,2022-02,P0016,168229.91367912292,3.73,3343,50.32,170.96,37.59,A
S001,2022-02,P0133,167805.07799801827,3.72,3407,49.25,166.21,41.31,A
S001,2022-02,P0129,163218.66892309193,3.62,2776,58.8,151.50,44.93,A
S001,2022-02,P0125,153685.6406522751,3.41,3634,42.29,176.39,48.34,A
S001,2022-02,P0079,148567.08182077407,3.29,2735,54.32,149.89,51.63,A
S001,2022-02,P0083,148140.33959846498,3.29,2453,60.39,131.43,54.92,A
S001,2022-02,P0067,147735.69135360717,3.28,2636,56.05,149.46,58.2,A
S001,2022-02,P0149,144954.53065109256,3.21,2651,54.68,146.00,61.41,A
S001,2022-02,P0068,144921.17531547547,3.21,2623,55.25,137.29,64.62,A
S001,2022-02,P0153,144793.88334350588,3.21,2445,59.22,142.21,67.84,A
S001,2022-02,P0096,140778.49343719482,3.12,2499,56.33,135.82,70.96,A
S001,2022-02,P0017,134017.5664642334,2.97,2530,52.97,128.54,73.93,A
S001,2022-02,P0116,133960.51545524597,2.97,2615,51.23,145.29,76.9,A
S001,2022-02,P0031,128699.12859740257,2.85,2405,53.51,128.64,79.76,A
S001,2022-02,P0159,125610.74178047181,2.79,2517,49.9,133.61,82.54,B
S001,2022-02,P0094,123755.87670783997,2.74,2439,50.74,139.46,85.29,B
S001,2022-02,P0085,121385.179445076,2.69,2311,52.52,137.71,87.98,B
S001,2022-02,P0175,120851.02648210524,2.68,2463,49.07,134.14,90.66,B
S001,2022-02,P0183,118103.66599349976,2.62,2390,49.42,127.29,93.28,B
S001,2022-02,P0166,103757.96378450394,2.3,2260,45.91,130.04,95.58,C
S001,2022-02,P0171,102749.19923257826,2.28,2284,44.99,128.89,97.86,C
S001,2022-02,P0070,96576.94217929839,2.14,2305,41.9,124.43,100,C
S001,2022-03,P0083,188457.9593792915,4.41,3268,57.67,151.87,4.41,A
S001,2022-03,P0187,167531.85274705887,3.92,2952,56.75,147.29,8.34,A
S001,2022-03,P0070,165009.61566066742,3.86,3059,53.94,142.58,12.2,A
S001,2022-03,P0085,162394.86292514802,3.8,2716,59.79,142.23,16,A
S001,2022-03,P0178,157756.99619455336,3.69,2550,61.87,135.13,19.7,A
S001,2022-03,P0096,153485.8718457222,3.59,3079,49.85,147.87,23.29,A
S001,2022-03,P0116,153418.41935157776,3.59,2950,52.01,146.74,26.88,A
S001,2022-03,P0175,148879.96248722076,3.49,2734,54.45,138.87,30.37,A
S001,2022-03,P0149,146638.51322727202,3.43,2518,58.24,140.55,33.8,A
S001,2022-03,P0031,145519.28932189944,3.41,2929,49.68,140.97,37.21,A
S001,2022-03,P0069,145432.84083547592,3.41,2704,53.78,135.81,40.61,A
S001,2022-03,P0166,144311.85132293703,3.38,2922,49.39,144.19,43.99,A
S001,2022-03,P0094,142213.24957971575,3.33,2890,49.21,149.52,47.32,A
S001,2022-03,P0171,142026.53320159912,3.33,3041,46.7,141.26,50.65,A
S001,2022-03,P0061,141733.59501395223,3.32,2916,48.61,146.45,53.97,A
S001,2022-03,P0126,139851.83354272845,3.27,3112,44.94,144.00,57.24,A
S001,2022-03,P0017,137366.38482761383,3.22,2597,52.89,137.68,60.46,A
S001,2022-03,P0057,137024.7038761139,3.21,2606,52.58,134.39,63.67,A
S001,2022-03,P0133,134340.57650394438,3.15,2600,51.67,129.29,66.81,A
S001,2022-03,P0066,133348.33056430818,3.12,2491,53.53,135.26,69.94,A
S001,2022-03,P0068,132841.99666633605,3.11,2513,52.86,139.71,73.05,A
S001,2022-03,P0079,132674.1998697281,3.11,2854,46.49,140.35,76.15,A
S001,2022-03,P0159,132401.40561609267,3.1,2598,50.96,127.00,79.25,A
S001,2022-03,P0125,131214.80346746446,3.07,2690,48.78,141.00,82.33,B
S001,2022-03,P0067,131030.3848854065,3.07,2794,46.9,139.39,85.39,B
S001,2022-03,P0129,130981.00704994203,3.07,2661,49.22,140.81,88.46,B
S001,2022-03,P0153,128993.1263237953,3.02,2746,46.97,133.74,91.48,B
S001,2022-03,P0046,124242.91802930832,2.91,2598,47.82,123.42,94.39,B
S001,2022-03,P0016,123122.47733664513,2.88,2659,46.3,139.06,97.27,C
S001,2022-03,P0183,116478.93341865542,2.73,2385,48.84,132.32,100,C
S001,2022-04,P0046,171662.68571605682,4.03,2982,57.57,149.77,4.03,A
S001,2022-04,P0096,163083.13240776063,3.83,2913,55.98,148.77,7.86,A
S001,2022-04,P0175,159283.43579931257,3.74,2815,56.58,142.43,11.6,A
S001,2022-04,P0066,157547.0228515625,3.7,2846,55.36,143.83,15.3,A
S001,2022-04,P0126,156656.6627605438,3.68,2825,55.45,138.83,18.98,A
S001,2022-04,P0178,155653.252960968,3.66,2967,52.46,151.60,22.63,A
S001,2022-04,P0129,152107.5097557545,3.57,2853,53.31,137.83,26.21,A
S001,2022-04,P0079,151951.45221419336,3.57,2953,51.46,149.67,29.77,A
S001,2022-04,P0125,150683.83400831223,3.54,2766,54.48,146.30,33.31,A
S001,2022-04,P0187,149381.5516737938,3.51,2801,53.33,136.33,36.82,A
S001,2022-04,P0017,145742.14991674424,3.42,2828,51.54,139.93,40.24,A
S001,2022-04,P0149,145388.70293188095,3.41,2776,52.37,136.20,43.66,A
S001,2022-04,P0083,144950.54880666733,3.4,2776,52.22,147.17,47.06,A
S001,2022-04,P0057,144644.2649433136,3.4,2737,52.85,151.53,50.46,A
S001,2022-04,P0061,144126.73838577268,3.38,2766,52.11,141.60,53.84,A
S001,2022-04,P0068,143176.36010189055,3.36,2658,53.87,130.23,57.2,A
S001,2022-04,P0031,142362.64502487183,3.34,2653,53.66,150.87,60.55,A
S001,2022-04,P0069,140223.6105297565,3.29,2698,51.97,148.80,63.84,A
S001,2022-04,P0153,139112.47661533355,3.27,2689,51.73,141.83,67.1,A
S001,2022-04,P0094,137233.92789630892,3.22,2751,49.89,139.13,70.33,A
S001,2022-04,P0085,135064.5118637562,3.17,2396,56.37,128.87,73.5,A
S001,2022-04,P0183,133270.0801645279,3.13,2901,45.94,151.57,76.63,A
S001,2022-04,P0166,132786.26301345826,3.12,2824,47.02,145.37,79.75,A
S001,2022-04,P0067,129080.2414144516,3.03,2524,51.14,126.73,82.78,B
S001,2022-04,P0159,128620.0903101921,3.02,2676,48.06,132.80,85.8,B
S001,2022-04,P0133,125598.01194934845,2.95,2727,46.06,134.87,88.75,B
S001,2022-04,P0116,123079.28802456855,2.89,2986,41.22,147.13,91.64,B
S001,2022-04,P0016,120844.48869342804,2.84,2588,46.69,136.53,94.47,B
S001,2022-04,P0171,117814.7179907322,2.77,2383,49.44,134.57,97.24,C
S001,2022-04,P0070,117484.28460235594,2.76,2424,48.47,125.73,100,C
S001,2022-05,P0085,172632.52612438204,4.09,2907,59.39,135.39,4.09,A
S001,2022-05,P0094,172458.46287517546,4.09,3414,50.52,146.48,8.18,A
S001,2022-05,P0096,166858.50660285947,3.96,2784,59.93,140.74,12.14,A
S001,2022-05,P0061,161610.4831598759,3.83,2746,58.85,125.90,15.97,A
S001,2022-05,P0046,158732.08506526946,3.76,3013,52.68,144.16,19.73,A
S001,2022-05,P0129,155082.77463607787,3.68,2992,51.83,138.61,23.41,A
S001,2022-05,P0175,154108.76599826815,3.65,2860,53.88,141.90,27.07,A
S001,2022-05,P0017,152000.33852415087,3.6,2856,53.22,143.84,30.67,A
S001,2022-05,P0083,149798.8047071457,3.55,2821,53.1,146.00,34.22,A
S001,2022-05,P0057,147791.10572013858,3.5,3029,48.79,145.00,37.73,A
S001,2022-05,P0070,146186.5382940292,3.47,2715,53.84,131.29,41.19,A
S001,2022-05,P0079,145449.85875339506,3.45,2869,50.7,143.06,44.64,A
S001,2022-05,P0116,144001.50890665053,3.41,2666,54.01,134.84,48.05,A
S001,2022-05,P0178,142439.12138051985,3.38,2463,57.83,132.74,51.43,A
S001,2022-05,P0166,142407.7612786293,3.38,3707,38.42,170.94,54.81,A
S001,2022-05,P0016,138829.75831727983,3.29,2953,47.01,144.13,58.1,A
S001,2022-05,P0183,138236.58803119662,3.28,3060,45.18,151.52,61.38,A
S001,2022-05,P0153,137741.6686018944,3.27,2918,47.2,139.35,64.64,A
S001,2022-05,P0159,135766.51663589478,3.22,2519,53.9,127.45,67.86,A
S001,2022-05,P0031,134154.21761665348,3.18,2680,50.06,143.16,71.04,A
S001,2022-05,P0149,132703.96910886763,3.15,2729,48.63,141.39,74.19,A
S001,2022-05,P0125,132493.15617656708,3.14,2813,47.1,136.10,77.33,A
S001,2022-05,P0067,130365.38071146012,3.09,2641,49.36,130.06,80.42,B
S001,2022-05,P0069,129756.96989870071,3.08,2703,48,141.65,83.5,B
S001,2022-05,P0068,121667.95356965065,2.88,2511,48.45,136.16,86.38,B
S001,2022-05,P0171,121583.28599424362,2.88,2658,45.74,141.55,89.27,B
S001,2022-05,P0187,120511.92724504472,2.86,2596,46.42,119.90,92.12,B
S001,2022-05,P0066,119003.08344440459,2.82,2615,45.51,135.84,94.95,B
S001,2022-05,P0126,118857.87517471312,2.82,2650,44.85,137.87,97.76,C
S001,2022-05,P0133,94294.05362324713,2.24,2607,36.17,128.77,100,C
S001,2022-06,P0094,182164.5548354149,4.41,3431,53.09,164.60,4.41,A
S001,2022-06,P0166,180703.63773679733,4.37,3417,52.88,160.43,8.78,A
S001,2022-06,P0175,159688.74922122958,3.86,2563,62.31,138.63,12.64,A
S001,2022-06,P0183,154912.81545448306,3.75,3043,50.91,154.77,16.39,A
S001,2022-06,P0067,150494.15966472626,3.64,2926,51.43,152.50,20.03,A
S001,2022-06,P0187,149019.12341594693,3.6,2954,50.45,141.73,23.63,A
S001,2022-06,P0070,148969.13445110322,3.6,2669,55.81,144.07,27.24,A
S001,2022-06,P0133,147085.51602325437,3.56,2870,51.25,149.40,30.79,A
S001,2022-06,P0153,146902.43188180923,3.55,3075,47.77,155.37,34.35,A
S001,2022-06,P0149,145922.90879154205,3.53,3230,45.18,144.60,37.88,A
S001,2022-06,P0126,141927.12725172043,3.43,2628,54.01,139.17,41.31,A
S001,2022-06,P0116,138182.3889503479,3.34,2429,56.89,133.40,44.65,A
S001,2022-06,P0068,137755.36445751193,3.33,2672,51.56,140.97,47.99,A
S001,2022-06,P0159,136954.47743873595,3.31,2666,51.37,141.93,51.3,A
S001,2022-06,P0057,136667.14798460007,3.31,2891,47.27,137.97,54.6,A
S001,2022-06,P0046,136069.88106093407,3.29,2829,48.1,144.30,57.9,A
S001,2022-06,P0125,134429.99602632524,3.25,2825,47.59,145.13,61.15,A
S001,2022-06,P0016,133558.968898201,3.23,2799,47.72,142.67,64.38,A
S001,2022-06,P0066,131189.67245869632,3.17,2767,47.41,132.10,67.55,A
S001,2022-06,P0085,129536.08800878526,3.13,2724,47.55,142.57,70.68,A
S001,2022-06,P0096,129236.05183591839,3.13,2445,52.86,134.33,73.81,A
S001,2022-06,P0178,128027.3560610771,3.1,2628,48.72,137.07,76.91,A
S001,2022-06,P0083,127899.82834825513,3.09,2659,48.1,119.57,80,A
S001,2022-06,P0079,127215.21544532776,3.08,2550,49.89,134.20,83.08,B
S001,2022-06,P0129,124117.11781883241,3,2546,48.75,132.80,86.08,B
S001,2022-06,P0031,122133.70557804109,2.95,2628,46.47,136.60,89.04,B
S001,2022-06,P0061,120307.90574331283,2.91,2807,42.86,146.93,91.95,B
S001,2022-06,P0069,116327.8281703472,2.81,2302,50.53,127.93,94.76,B
S001,2022-06,P0171,111298.32351408004,2.69,2522,44.13,134.40,97.45,C
S001,2022-06,P0017,105332.37535381317,2.55,2439,43.19,122.97,100,C
S001,2022-07,P0166,232723.42286520003,5.11,4259,54.64,185.32,5.11,A
S001,2022-07,P0094,203613.86965408325,4.47,4121,49.41,178.71,9.59,A
S001,2022-07,P0125,188209.68775329593,4.14,3067,61.37,150.03,13.72,A
S001,2022-07,P0067,187126.21395740507,4.11,3240,57.76,149.42,17.83,A
S001,2022-07,P0149,178008.556162405,3.91,2888,61.64,141.29,21.75,A
S001,2022-07,P0085,165894.569254303,3.65,2973,55.8,145.77,25.39,A
S001,2022-07,P0096,162825.56391887667,3.58,3046,53.46,157.81,28.97,A
S001,2022-07,P0066,161702.23724756239,3.55,2996,53.97,141.68,32.52,A
S001,2022-07,P0046,161477.54030418396,3.55,2849,56.68,150.58,36.07,A
S001,2022-07,P0183,157952.81934080122,3.47,2928,53.95,151.74,39.54,A
S001,2022-07,P0083,155052.75088653562,3.41,2772,55.94,140.39,42.95,A
S001,2022-07,P0016,153609.2430146694,3.38,2978,51.58,132.29,46.32,A
S001,2022-07,P0153,152501.80453948976,3.35,2918,52.26,143.65,49.67,A
S001,2022-07,P0017,152341.75627050403,3.35,2910,52.35,144.48,53.02,A
S001,2022-07,P0061,146026.05736064914,3.21,2792,52.3,144.03,56.23,A
S001,2022-07,P0116,145103.12781090738,3.19,2867,50.61,155.74,59.42,A
S001,2022-07,P0171,144153.42769117357,3.17,2711,53.17,133.71,62.58,A
S001,2022-07,P0031,140003.61715087888,3.08,2745,51,133.19,65.66,A
S001,2022-07,P0178,139703.18460149766,3.07,2968,47.07,139.29,68.73,A
S001,2022-07,P0126,138607.73557071685,3.05,2692,51.49,131.77,71.78,A
S001,2022-07,P0057,136597.28589000704,3,2763,49.44,140.45,74.78,A
S001,2022-07,P0175,134958.10932850838,2.97,2635,51.22,132.42,77.74,A
S001,2022-07,P0159,134367.7563419342,2.95,2579,52.1,121.26,80.69,B
S001,2022-07,P0129,131189.1964780807,2.88,2826,46.42,138.61,83.58,B
S001,2022-07,P0068,130892.88036670684,2.88,2634,49.69,127.03,86.45,B
S001,2022-07,P0070,129576.57106981277,2.85,2675,48.44,136.26,89.3,B
S001,2022-07,P0069,125986.6499176979,2.77,2469,51.03,127.45,92.07,B
S001,2022-07,P0133,122984.11753578183,2.7,2918,42.15,149.42,94.77,B
S001,2022-07,P0079,120384.48707003595,2.65,2915,41.3,147.81,97.42,C
S001,2022-07,P0187,117594.9525528431,2.58,2571,45.74,133.68,100,C
S001,2022-08,P0171,176928.30553302763,4.08,2990,59.17,149.42,4.08,A
S001,2022-08,P0016,172634.66407699583,3.98,3065,56.32,149.42,8.06,A
S001,2022-08,P0057,172345.7606552124,3.98,3310,52.07,154.10,12.04,A
S001,2022-08,P0067,161057.11239709854,3.72,2696,59.74,137.13,15.76,A
S001,2022-08,P0187,161043.44187784192,3.72,2823,57.05,147.13,19.47,A
S001,2022-08,P0129,159639.1523578644,3.68,3168,50.39,142.06,23.16,A
S001,2022-08,P0069,159246.31066451073,3.67,3203,49.72,146.94,26.83,A
S001,2022-08,P0178,156204.10517578127,3.6,2661,58.7,146.32,30.43,A
S001,2022-08,P0079,155346.82876253128,3.58,3183,48.81,159.26,34.02,A
S001,2022-08,P0083,151904.51970043182,3.5,2792,54.41,133.23,37.52,A
S001,2022-08,P0133,151623.42370843887,3.5,2644,57.35,135.23,41.02,A
S001,2022-08,P0096,151570.42541093827,3.5,3269,46.37,155.13,44.52,A
S001,2022-08,P0126,147832.85877537727,3.41,3061,48.3,151.19,47.93,A
S001,2022-08,P0125,144822.68722639082,3.34,3130,46.27,159.23,51.27,A
S001,2022-08,P0166,142988.43673686983,3.3,2827,50.58,142.06,54.57,A
S001,2022-08,P0149,142624.53511619565,3.29,2746,51.94,139.03,57.86,A
S001,2022-08,P0061,140631.70829524993,3.24,2657,52.93,139.42,61.1,A
S001,2022-08,P0183,139192.62356481553,3.21,2828,49.22,140.52,64.31,A
S001,2022-08,P0046,139042.51020889284,3.21,3057,45.48,146.19,67.52,A
S001,2022-08,P0116,138988.2337371826,3.21,2891,48.08,143.35,70.73,A
S001,2022-08,P0017,137748.68599500656,3.18,2982,46.19,153.45,73.91,A
S001,2022-08,P0094,137465.09766044616,3.17,2793,49.22,145.35,77.08,A
S001,2022-08,P0159,135299.9001197815,3.12,2537,53.33,137.65,80.2,B
S001,2022-08,P0066,135066.6532299042,3.12,2544,53.09,121.97,83.31,B
S001,2022-08,P0085,132661.77828068731,3.06,2656,49.95,133.97,86.38,B
S001,2022-08,P0153,123590.41640567781,2.85,2633,46.94,134.68,89.23,B
S001,2022-08,P0175,122829.44530391693,2.83,2894,42.44,138.58,92.06,B
S001,2022-08,P0031,119347.37847709659,2.75,2350,50.79,132.23,94.81,B
S001,2022-08,P0070,112495.2858457565,2.6,2699,41.68,133.77,97.41,C
S001,2022-08,P0068,112291.77646861077,2.59,2538,44.24,130.13,100,C
S001,2022-09,P0129,171463.9379239082,4.09,3032,56.55,143.27,4.09,A
S001,2022-09,P0116,163568.84575519562,3.9,2966,55.15,147.03,8,A
S001,2022-09,P0057,158463.82230482105,3.78,2852,55.56,151.13,11.78,A
S001,2022-09,P0079,156317.3646870613,3.73,2713,57.62,141.87,15.51,A
S001,2022-09,P0017,156197.54793930054,3.73,2869,54.44,138.57,19.24,A
S001,2022-09,P0171,154399.91557302474,3.69,2828,54.6,136.40,22.92,A
S001,2022-09,P0016,153073.9544200897,3.65,2718,56.32,138.33,26.58,A
S001,2022-09,P0166,151459.83928508757,3.62,2871,52.76,148.63,30.19,A
S001,2022-09,P0187,150298.46147899627,3.59,2850,52.74,142.37,33.78,A
S001,2022-09,P0183,148196.8109796524,3.54,2797,52.98,147.23,37.32,A
S001,2022-09,P0153,147451.34057826997,3.52,2691,54.79,143.17,40.84,A
S001,2022-09,P0096,145009.10834884646,3.46,2771,52.33,128.73,44.3,A
S001,2022-09,P0133,144743.296458292,3.45,2631,55.01,151.67,47.75,A
S001,2022-09,P0067,142063.64143056868,3.39,2914,48.75,140.30,51.14,A
S001,2022-09,P0149,138029.03198337555,3.29,2582,53.46,144.13,54.44,A
S001,2022-09,P0178,136549.37991185187,3.26,2865,47.66,147.77,57.7,A
S001,2022-09,P0126,136016.69914603236,3.25,2716,50.08,142.40,60.94,A
S001,2022-09,P0159,135879.10705661774,3.24,2752,49.37,132.37,64.19,A
S001,2022-09,P0069,131993.62338466645,3.15,2788,47.34,138.67,67.34,A
S001,2022-09,P0094,131789.89238672258,3.15,2737,48.15,146.30,70.48,A
S001,2022-09,P0061,131324.35795459748,3.13,2674,49.11,137.77,73.62,A
S001,2022-09,P0031,128997.02735013962,3.08,2195,58.77,118.17,76.7,A
S001,2022-09,P0046,126592.97305765151,3.02,2751,46.02,145.40,79.72,A
S001,2022-09,P0070,126568.9866186142,3.02,2642,47.91,139.77,82.74,B
S001,2022-09,P0175,125231.51592702865,2.99,2501,50.07,136.80,85.73,B
S001,2022-09,P0066,124787.32239437103,2.98,2874,43.42,148.13,88.71,B
S001,2022-09,P0083,122578.52528972624,2.93,2540,48.26,129.03,91.63,B
S001,2022-09,P0125,122458.8509946823,2.92,2689,45.54,141.00,94.55,B
S001,2022-09,P0068,115571.43551054003,2.76,2583,44.74,128.30,97.31,C
S001,2022-09,P0085,112557.70722236634,2.69,2505,44.93,133.87,100,C
S001,2022-10,P0175,174410.14107170104,4.01,2971,58.7,136.81,4.01,A
S001,2022-10,P0067,171042.99212207794,3.94,3098,55.21,144.13,7.95,A
S001,2022-10,P0057,164676.2517734528,3.79,2989,55.09,139.10,11.74,A
S001,2022-10,P0129,161982.55951271055,3.73,3035,53.37,155.03,15.47,A
S001,2022-10,P0178,157036.5723130703,3.61,3059,51.34,149.55,19.08,A
S001,2022-10,P0116,156377.33845243452,3.6,3044,51.37,147.29,22.68,A
S001,2022-10,P0068,155440.6507270813,3.58,2742,56.69,144.23,26.26,A
S001,2022-10,P0125,153166.25402116778,3.52,2983,51.35,148.29,29.78,A
S001,2022-10,P0094,150949.58899531368,3.47,2945,51.26,148.32,33.26,A
S001,2022-10,P0017,150918.63256292342,3.47,2998,50.34,135.26,36.73,A
S001,2022-10,P0096,147947.44194946293,3.4,2515,58.83,129.81,40.13,A
S001,2022-10,P0153,147523.77436285015,3.39,2941,50.16,139.06,43.53,A
S001,2022-10,P0133,147229.90125694274,3.39,2666,55.23,131.71,46.92,A
S001,2022-10,P0126,147053.1308950424,3.38,2718,54.1,133.52,50.3,A
S001,2022-10,P0083,145198.04351077077,3.34,2821,51.47,136.90,53.64,A
S001,2022-10,P0016,143262.3085354328,3.3,2848,50.3,134.68,56.94,A
S001,2022-10,P0066,143094.75641965866,3.29,2650,54,132.97,60.23,A
S001,2022-10,P0171,141394.5877550125,3.25,2749,51.43,142.16,63.49,A
S001,2022-10,P0046,140354.85425367358,3.23,2943,47.69,136.87,66.72,A
S001,2022-10,P0149,139758.9806809425,3.22,2725,51.29,143.61,69.93,A
S001,2022-10,P0187,136534.76019496916,3.14,2650,51.52,130.74,73.07,A
S001,2022-10,P0166,136524.2488407135,3.14,2861,47.72,145.35,76.22,A
S001,2022-10,P0061,135574.55398139954,3.12,2632,51.51,133.26,79.34,A
S001,2022-10,P0159,135287.02946920396,3.11,2809,48.16,141.45,82.45,B
S001,2022-10,P0079,133242.35729789737,3.07,2938,45.35,147.06,85.52,B
S001,2022-10,P0031,129915.14056692123,2.99,2857,45.47,139.06,88.51,B
S001,2022-10,P0085,129596.92060585023,2.98,2930,44.23,141.39,91.49,B
S001,2022-10,P0069,127430.39554743766,2.93,2718,46.88,131.94,94.42,B
S001,2022-10,P0070,126250.79868278504,2.91,2599,48.58,134.42,97.33,C
S001,2022-10,P0183,116177.13936166764,2.67,2537,45.79,129.26,100,C
S001,2022-11,P0126,222594.68942022327,4.68,3812,58.39,179.87,4.68,A
S001,2022-11,P0069,217010.8638338089,4.57,3701,58.64,171.97,9.25,A
S001,2022-11,P0133,211570.64424571994,4.45,3774,56.06,164.83,13.71,A
S001,2022-11,P0061,203079.05080871584,4.27,4042,50.24,187.80,17.98,A
S001,2022-11,P0046,201654.32349157333,4.24,4003,50.38,179.70,22.22,A
S001,2022-11,P0066,197884.92040090563,4.16,3869,51.15,184.03,26.39,A
S001,2022-11,P0187,196626.6367641449,4.14,3869,50.82,186.10,30.53,A
S001,2022-11,P0125,193281.58251008985,4.07,3759,51.42,171.67,34.59,A
S001,2022-11,P0057,190480.370663786,4.01,3879,49.11,175.27,38.6,A
S001,2022-11,P0016,179431.05974502565,3.78,3670,48.89,173.63,42.38,A
S001,2022-11,P0178,174667.69876556395,3.68,3724,46.9,174.23,46.06,A
S001,2022-11,P0083,158815.79223556517,3.34,2957,53.71,153.37,49.4,A
S001,2022-11,P0175,158174.39632110595,3.33,2814,56.21,140.17,52.73,A
S001,2022-11,P0153,158050.19643840787,3.33,2845,55.55,145.10,56.05,A
S001,2022-11,P0017,149349.06154012677,3.14,2884,51.79,138.47,59.2,A
S001,2022-11,P0171,148449.20422935486,3.12,2618,56.7,130.67,62.32,A
S001,2022-11,P0094,145604.41471862793,3.06,2541,57.3,137.47,65.39,A
S001,2022-11,P0129,145074.6015804291,3.05,2524,57.48,130.47,68.44,A
S001,2022-11,P0079,142504.21938962935,3,2423,58.81,125.87,71.44,A
S001,2022-11,P0149,134560.49764842988,2.83,2868,46.92,148.50,74.27,A
S001,2022-11,P0166,132006.17401561738,2.78,2606,50.65,140.83,77.05,A
S001,2022-11,P0159,131750.9726085186,2.77,2548,51.71,131.53,79.82,A
S001,2022-11,P0068,126007.75056324006,2.65,2514,50.12,135.93,82.47,B
S001,2022-11,P0031,125560.1101240158,2.64,2534,49.55,125.87,85.12,B
S001,2022-11,P0067,125211.28626356125,2.64,2650,47.25,136.83,87.75,B
S001,2022-11,P0096,121701.58613586427,2.56,2453,49.61,139.50,90.31,B
S001,2022-11,P0085,119779.30296630858,2.52,2631,45.53,139.83,92.84,B
S001,2022-11,P0070,118090.50796861647,2.49,2414,48.92,133.00,95.32,C
S001,2022-11,P0183,114262.32177095412,2.4,2542,44.95,137.07,97.73,C
S001,2022-11,P0116,108071.4827178955,2.27,2791,38.72,139.67,100,C
S001,2022-12,P0133,234545.9156415939,4.7,4211,55.7,186.06,4.7,A
S001,2022-12,P0057,234356.14886555672,4.7,4285,54.69,187.52,9.4,A
S001,2022-12,P0069,216534.22776021957,4.34,4188,51.7,181.16,13.75,A
S001,2022-12,P0061,212639.30235800744,4.26,4086,52.04,189.03,18.01,A
S001,2022-12,P0046,210994.8884048462,4.23,4239,49.77,179.58,22.24,A
S001,2022-12,P0187,210760.98701343537,4.23,4108,51.31,186.71,26.47,A
S001,2022-12,P0178,201927.36110820773,4.05,4111,49.12,176.45,30.52,A
S001,2022-12,P0066,192509.03593158725,3.86,3715,51.82,154.90,34.38,A
S001,2022-12,P0126,190857.7262700081,3.83,3881,49.18,177.58,38.21,A
