Date,Product_ID,Store_ID,Inventory_Level,Recommended_Reorder_Threshold,Status
2022-07-23,P0016,S001,119,78.43,"Sufficient Stock"
2022-07-24,P0016,S001,180,84.71,"Sufficient Stock"
2022-07-25,P0016,S001,158,87.57,"Sufficient Stock"
2022-07-26,P0016,S001,175,89.57,"Sufficient Stock"
2022-07-27,P0016,S001,119,93.43,"Sufficient Stock"
2022-07-28,P0016,S001,166,99.29,"Sufficient Stock"
2022-07-29,P0016,S001,93,93.57,"Reorder Now"
2022-07-30,P0016,S001,85,92.86,"Reorder Now"
2022-07-31,P0016,S001,106,79.71,"Sufficient Stock"
2022-08-01,P0016,S001,148,74.71,"Sufficient Stock"
2022-08-02,P0016,S001,161,67.71,"Sufficient Stock"
2022-08-03,P0016,S001,129,71.57,"Sufficient Stock"
2022-08-04,P0016,S001,96,73.71,"Sufficient Stock"
2022-08-05,P0016,S001,210,79.14,"Sufficient Stock"
2022-08-06,P0016,S001,118,86.86,"Sufficient Stock"
2022-08-07,P0016,S001,99,91.00,"Sufficient Stock"
2022-08-08,P0016,S001,178,98.29,"Sufficient Stock"
2022-08-09,P0016,S001,172,102.00,"Sufficient Stock"
2022-08-10,P0016,S001,170,99.14,"Sufficient Stock"
2022-08-11,P0016,S001,170,101.86,"Sufficient Stock"
2022-08-12,P0016,S001,200,100.57,"Sufficient Stock"
2022-08-13,P0016,S001,87,92.29,"Reorder Now"
2022-08-14,P0016,S001,200,101.43,"Sufficient Stock"
2022-08-15,P0016,S001,68,94.29,"Reorder Now"
2022-08-16,P0016,S001,280,103.86,"Sufficient Stock"
2022-08-17,P0016,S001,185,105.29,"Sufficient Stock"
2022-08-18,P0016,S001,203,108.14,"Sufficient Stock"
2022-08-19,P0016,S001,144,103.86,"Sufficient Stock"
2022-08-20,P0016,S001,137,113.43,"Sufficient Stock"
2022-08-21,P0016,S001,51,100.71,"Reorder Now"
2022-08-22,P0016,S001,91,104.57,"Reorder Now"
2022-08-23,P0016,S001,131,95.00,"Sufficient Stock"
2022-08-24,P0016,S001,170,96.00,"Sufficient Stock"
2022-08-25,P0016,S001,102,88.57,"Sufficient Stock"
2022-08-26,P0016,S001,87,85.29,"Sufficient Stock"
2022-08-27,P0016,S001,175,80.00,"Sufficient Stock"
2022-08-28,P0016,S001,199,95.86,"Sufficient Stock"
2022-08-29,P0016,S001,65,93.43,"Reorder Now"
2022-08-30,P0016,S001,189,99.71,"Sufficient Stock"
2022-08-31,P0016,S001,217,103.29,"Sufficient Stock"
2022-09-01,P0016,S001,91,103.57,"Reorder Now"
2022-09-02,P0016,S001,171,111.57,"Sufficient Stock"
2022-09-03,P0016,S001,116,111.14,"Sufficient Stock"
2022-09-04,P0016,S001,109,103.14,"Sufficient Stock"
2022-09-05,P0016,S001,177,107.71,"Sufficient Stock"
2022-09-06,P0016,S001,182,106.43,"Sufficient Stock"
2022-09-07,P0016,S001,151,101.29,"Sufficient Stock"
2022-09-08,P0016,S001,176,104.00,"Sufficient Stock"
2022-09-09,P0016,S001,232,108.71,"Sufficient Stock"
2022-09-10,P0016,S001,88,107.86,"Reorder Now"
2022-09-11,P0016,S001,88,103.43,"Reorder Now"
2022-09-12,P0016,S001,117,94.00,"Sufficient Stock"
2022-09-13,P0016,S001,87,87.00,"Reorder Now"
2022-09-14,P0016,S001,171,89.00,"Sufficient Stock"
2022-09-15,P0016,S001,191,88.29,"Sufficient Stock"
2022-09-16,P0016,S001,86,80.14,"Sufficient Stock"
2022-09-17,P0016,S001,130,83.14,"Sufficient Stock"
2022-09-18,P0016,S001,254,93.71,"Sufficient Stock"
2022-09-19,P0016,S001,130,96.71,"Sufficient Stock"
2022-09-20,P0016,S001,80,96.43,"Reorder Now"
2022-09-21,P0016,S001,109,89.43,"Sufficient Stock"
2022-09-22,P0016,S001,174,91.43,"Sufficient Stock"
2022-09-23,P0016,S001,156,89.14,"Sufficient Stock"
2022-09-24,P0016,S001,103,83.71,"Sufficient Stock"
2022-09-25,P0016,S001,156,74.86,"Sufficient Stock"
2022-09-26,P0016,S001,132,73.14,"Sufficient Stock"
2022-09-27,P0016,S001,167,78.57,"Sufficient Stock"
2022-09-28,P0016,S001,111,87.00,"Sufficient Stock"
2022-09-29,P0016,S001,93,83.57,"Sufficient Stock"
2022-09-30,P0016,S001,122,82.43,"Sufficient Stock"
2022-10-01,P0016,S001,125,85.29,"Sufficient Stock"
2022-10-02,P0016,S001,156,89.71,"Sufficient Stock"
2022-10-03,P0016,S001,140,95.57,"Sufficient Stock"
2022-10-04,P0016,S001,88,90.00,"Reorder Now"
2022-10-05,P0016,S001,249,93.71,"Sufficient Stock"
2022-10-06,P0016,S001,134,92.86,"Sufficient Stock"
2022-10-07,P0016,S001,86,96.29,"Reorder Now"
2022-10-08,P0016,S001,194,104.29,"Sufficient Stock"
2022-10-09,P0016,S001,143,100.14,"Sufficient Stock"
2022-10-10,P0016,S001,131,107.14,"Sufficient Stock"
2022-10-11,P0016,S001,195,110.71,"Sufficient Stock"
2022-10-12,P0016,S001,113,101.29,"Sufficient Stock"
2022-10-13,P0016,S001,65,96.00,"Reorder Now"
2022-10-14,P0016,S001,150,94.00,"Sufficient Stock"
2022-10-15,P0016,S001,111,86.14,"Sufficient Stock"
2022-10-16,P0016,S001,158,86.00,"Sufficient Stock"
2022-10-17,P0016,S001,159,77.57,"Sufficient Stock"
2022-10-18,P0016,S001,129,74.71,"Sufficient Stock"
2022-10-19,P0016,S001,155,78.00,"Sufficient Stock"
2022-10-20,P0016,S001,105,88.57,"Sufficient Stock"
2022-10-21,P0016,S001,148,90.43,"Sufficient Stock"
2022-10-22,P0016,S001,211,94.14,"Sufficient Stock"
2022-10-23,P0016,S001,105,95.29,"Sufficient Stock"
2022-10-24,P0016,S001,117,99.86,"Sufficient Stock"
2022-10-25,P0016,S001,187,103.43,"Sufficient Stock"
2022-10-26,P0016,S001,116,103.29,"Sufficient Stock"
2022-10-27,P0016,S001,66,95.57,"Reorder Now"
2022-10-28,P0016,S001,129,95.71,"Sufficient Stock"
2022-10-29,P0016,S001,58,88.00,"Reorder Now"
2022-10-30,P0016,S001,100,81.14,"Sufficient Stock"
2022-10-31,P0016,S001,152,82.86,"Sufficient Stock"
2022-11-01,P0016,S001,142,86.43,"Sufficient Stock"
2022-11-02,P0016,S001,132,93.71,"Sufficient Stock"
2022-11-03,P0016,S001,144,98.71,"Sufficient Stock"
2022-11-04,P0016,S001,147,101.57,"Sufficient Stock"
2022-11-05,P0016,S001,176,110.43,"Sufficient Stock"
2022-11-06,P0016,S001,142,115.57,"Sufficient Stock"
2022-11-07,P0016,S001,170,111.00,"Sufficient Stock"
2022-11-08,P0016,S001,229,112.14,"Sufficient Stock"
2022-11-09,P0016,S001,176,114.43,"Sufficient Stock"
2022-11-10,P0016,S001,240,123.71,"Sufficient Stock"
2022-11-11,P0016,S001,219,124.57,"Sufficient Stock"
2022-11-12,P0016,S001,304,136.14,"Sufficient Stock"
2022-11-13,P0016,S001,237,154.71,"Sufficient Stock"
2022-11-14,P0016,S001,243,167.86,"Sufficient Stock"
2022-11-15,P0016,S001,110,158.00,"Reorder Now"
2022-11-16,P0016,S001,146,145.86,"Sufficient Stock"
2022-11-17,P0016,S001,186,145.00,"Sufficient Stock"
2022-11-18,P0016,S001,146,143.14,"Sufficient Stock"
2022-11-19,P0016,S001,185,135.14,"Sufficient Stock"
2022-11-20,P0016,S001,89,117.86,"Reorder Now"
2022-11-21,P0016,S001,69,99.86,"Reorder Now"
2022-11-22,P0016,S001,175,102.14,"Sufficient Stock"
2022-11-23,P0016,S001,128,107.43,"Sufficient Stock"
2022-11-24,P0016,S001,307,120.00,"Sufficient Stock"
2022-11-25,P0016,S001,107,119.00,"Reorder Now"
2022-11-26,P0016,S001,172,108.29,"Sufficient Stock"
2022-11-27,P0016,S001,75,103.86,"Reorder Now"
2022-11-28,P0016,S001,191,114.43,"Sufficient Stock"
2022-11-29,P0016,S001,128,106.00,"Sufficient Stock"
2022-11-30,P0016,S001,294,115.00,"Sufficient Stock"
2022-12-01,P0016,S001,237,104.29,"Sufficient Stock"
2022-12-02,P0016,S001,73,101.43,"Reorder Now"
2022-12-03,P0016,S001,99,102.86,"Reorder Now"
2022-12-04,P0016,S001,250,118.00,"Sufficient Stock"
2022-12-05,P0016,S001,62,107.14,"Reorder Now"
2022-12-06,P0016,S001,139,120.14,"Sufficient Stock"
2022-12-07,P0016,S001,166,113.14,"Sufficient Stock"
2022-12-08,P0016,S001,203,107.29,"Sufficient Stock"
2022-12-09,P0016,S001,88,106.43,"Reorder Now"
2022-12-10,P0016,S001,252,122.57,"Sufficient Stock"
2022-12-11,P0016,S001,80,106.86,"Reorder Now"
2022-12-12,P0016,S001,89,106.71,"Reorder Now"
2022-12-13,P0016,S001,134,101.71,"Sufficient Stock"
2022-12-14,P0016,S001,136,100.14,"Sufficient Stock"
2022-12-15,P0016,S001,240,104.43,"Sufficient Stock"
2022-12-16,P0016,S001,264,117.57,"Sufficient Stock"
2022-12-17,P0016,S001,173,108.43,"Sufficient Stock"
2022-12-18,P0016,S001,164,123.00,"Sufficient Stock"
2022-12-19,P0016,S001,204,131.00,"Sufficient Stock"
2022-12-20,P0016,S001,80,130.57,"Reorder Now"
2022-12-21,P0016,S001,169,139.71,"Sufficient Stock"
2022-12-22,P0016,S001,163,134.29,"Sufficient Stock"
2022-12-23,P0016,S001,159,128.43,"Sufficient Stock"
2022-12-24,P0016,S001,342,142.00,"Sufficient Stock"
2022-12-25,P0016,S001,162,136.43,"Sufficient Stock"
2022-12-26,P0016,S001,185,135.71,"Sufficient Stock"
2022-12-27,P0016,S001,75,127.00,"Reorder Now"
2022-12-28,P0016,S001,123,112.00,"Sufficient Stock"
2022-12-29,P0016,S001,222,119.43,"Sufficient Stock"
2022-12-30,P0016,S001,96,104.29,"Reorder Now"
2022-12-31,P0016,S001,250,101.29,"Sufficient Stock"
2023-01-01,P0016,S001,207,112.71,"Sufficient Stock"
2023-01-02,P0016,S001,104,110.14,"Reorder Now"
2023-01-03,P0016,S001,213,133.14,"Sufficient Stock"
2023-01-04,P0016,S001,158,138.00,"Sufficient Stock"
2023-01-05,P0016,S001,161,127.43,"Sufficient Stock"
2023-01-06,P0016,S001,185,152.14,"Sufficient Stock"
2023-01-07,P0016,S001,202,146.00,"Sufficient Stock"
2023-01-08,P0016,S001,209,138.57,"Sufficient Stock"
2023-01-09,P0016,S001,31,130.00,"Reorder Now"
2023-01-10,P0016,S001,96,111.00,"Reorder Now"
2023-01-11,P0016,S001,85,106.14,"Reorder Now"
2023-01-12,P0016,S001,102,104.29,"Reorder Now"
2023-01-13,P0016,S001,195,95.14,"Sufficient Stock"
2023-01-14,P0016,S001,158,95.57,"Sufficient Stock"
2023-01-15,P0016,S001,253,96.57,"Sufficient Stock"
2023-01-16,P0016,S001,251,119.14,"Sufficient Stock"
2023-01-17,P0016,S001,189,122.57,"Sufficient Stock"
2023-01-18,P0016,S001,362,145.86,"Sufficient Stock"
2023-01-19,P0016,S001,161,149.14,"Sufficient Stock"
2023-01-20,P0016,S001,314,167.14,"Sufficient Stock"
2023-01-21,P0016,S001,211,167.14,"Sufficient Stock"
2023-01-22,P0016,S001,129,161.29,"Reorder Now"
2023-01-23,P0016,S001,181,146.14,"Sufficient Stock"
2023-01-24,P0016,S001,162,155.29,"Sufficient Stock"
2023-01-25,P0016,S001,133,131.57,"Sufficient Stock"
2023-01-26,P0016,S001,143,137.86,"Sufficient Stock"
2023-01-27,P0016,S001,235,120.57,"Sufficient Stock"
2023-01-28,P0016,S001,151,104.86,"Sufficient Stock"
2023-01-29,P0016,S001,110,101.86,"Sufficient Stock"
2023-01-30,P0016,S001,267,113.14,"Sufficient Stock"
2023-01-31,P0016,S001,256,125.57,"Sufficient Stock"
2023-02-01,P0016,S001,68,120.86,"Reorder Now"
2023-02-02,P0016,S001,162,116.14,"Sufficient Stock"
2023-02-03,P0016,S001,185,113.43,"Sufficient Stock"
2023-02-04,P0016,S001,226,134.71,"Sufficient Stock"
2023-02-05,P0016,S001,142,144.71,"Reorder Now"
2023-02-06,P0016,S001,59,132.14,"Reorder Now"
2023-02-07,P0016,S001,179,116.00,"Sufficient Stock"
2023-02-08,P0016,S001,259,139.00,"Sufficient Stock"
2023-02-09,P0016,S001,209,143.71,"Sufficient Stock"
2023-02-10,P0016,S001,200,148.29,"Sufficient Stock"
2023-02-11,P0016,S001,152,136.43,"Sufficient Stock"
2023-02-12,P0016,S001,168,130.71,"Sufficient Stock"
2023-02-13,P0016,S001,193,138.29,"Sufficient Stock"
2023-02-14,P0016,S001,197,135.14,"Sufficient Stock"
2023-02-15,P0016,S001,154,114.29,"Sufficient Stock"
2023-02-16,P0016,S001,221,121.00,"Sufficient Stock"
2023-02-17,P0016,S001,293,126.14,"Sufficient Stock"
2023-02-18,P0016,S001,175,127.57,"Sufficient Stock"
2023-02-19,P0016,S001,144,129.57,"Sufficient Stock"
2023-02-20,P0016,S001,195,129.57,"Sufficient Stock"
2023-02-21,P0016,S001,221,142.71,"Sufficient Stock"
2023-02-22,P0016,S001,226,156.57,"Sufficient Stock"
2023-02-23,P0016,S001,247,152.00,"Sufficient Stock"
2023-02-24,P0016,S001,84,135.57,"Reorder Now"
2023-02-25,P0016,S001,244,147.29,"Sufficient Stock"
2023-02-26,P0016,S001,79,135.29,"Reorder Now"
2023-02-27,P0016,S001,293,149.86,"Sufficient Stock"
2023-02-28,P0016,S001,223,146.57,"Sufficient Stock"
2023-03-01,P0016,S001,126,142.71,"Reorder Now"
2023-03-02,P0016,S001,154,130.57,"Sufficient Stock"
2023-03-03,P0016,S001,98,134.71,"Reorder Now"
2023-03-04,P0016,S001,134,115.86,"Sufficient Stock"
2023-03-05,P0016,S001,149,121.71,"Sufficient Stock"
2023-03-06,P0016,S001,131,108.00,"Sufficient Stock"
2023-03-07,P0016,S001,99,94.29,"Sufficient Stock"
2023-03-08,P0016,S001,176,91.00,"Sufficient Stock"
2023-03-09,P0016,S001,235,98.43,"Sufficient Stock"
2023-03-10,P0016,S001,134,100.43,"Sufficient Stock"
2023-03-11,P0016,S001,200,104.00,"Sufficient Stock"
2023-03-12,P0016,S001,278,115.86,"Sufficient Stock"
2023-03-13,P0016,S001,186,116.71,"Sufficient Stock"
2023-03-14,P0016,S001,92,118.86,"Reorder Now"
2023-03-15,P0016,S001,115,113.00,"Sufficient Stock"
2023-03-16,P0016,S001,86,104.43,"Reorder Now"
2023-03-17,P0016,S001,174,103.71,"Sufficient Stock"
2023-03-18,P0016,S001,97,96.43,"Sufficient Stock"
2023-03-19,P0016,S001,92,81.71,"Sufficient Stock"
2023-03-20,P0016,S001,238,84.86,"Sufficient Stock"
2023-03-21,P0016,S001,126,84.43,"Sufficient Stock"
2023-03-22,P0016,S001,158,83.29,"Sufficient Stock"
2023-03-23,P0016,S001,145,83.57,"Sufficient Stock"
2023-03-24,P0016,S001,142,76.29,"Sufficient Stock"
2023-03-25,P0016,S001,134,85.00,"Sufficient Stock"
2023-03-26,P0016,S001,107,89.43,"Sufficient Stock"
2023-03-27,P0016,S001,148,74.29,"Sufficient Stock"
2023-03-28,P0016,S001,245,90.29,"Sufficient Stock"
2023-03-29,P0016,S001,203,96.57,"Sufficient Stock"
