YearWeek,Store_ID,Product_ID,total_units_sold,inventory_level_end_of_week,movement_category,movement_gap
2022-00,S005,P0066,330,155,Fast-Moving,175
2022-00,S005,P0061,260,131,Fast-Moving,129
2022-00,S005,P0125,257,133,Fast-Moving,124
2022-00,S005,P0016,231,108,Fast-Moving,123
2022-00,S005,P0067,233,123,Fast-Moving,110
2022-00,S005,P0069,226,120,Fast-Moving,106
2022-00,S005,P0031,163,59,Fast-Moving,104
2022-00,S005,P0085,207,110,Fast-Moving,97
2022-00,S005,P0126,256,161,Fast-Moving,95
2022-00,S005,P0083,230,139,Fast-Moving,91
2022-00,S005,P0116,225,146,Fast-Moving,79
2022-00,S005,P0175,129,53,Fast-Moving,76
2022-00,S005,P0187,174,100,Fast-Moving,74
2022-00,S005,P0057,250,185,Fast-Moving,65
2022-00,S005,P0159,116,58,Fast-Moving,58
2022-00,S005,P0068,119,63,Fast-Moving,56
2022-00,S005,P0183,167,112,Fast-Moving,55
2022-00,S005,P0171,199,145,Fast-Moving,54
2022-00,S005,P0133,191,139,Fast-Moving,52
2022-00,S005,P0129,246,199,Fast-Moving,47
2022-00,S005,P0017,164,119,Fast-Moving,45
2022-00,S005,P0070,168,135,Fast-Moving,33
2022-00,S005,P0149,172,140,Fast-Moving,32
2022-00,S005,P0094,175,145,Fast-Moving,30
2022-00,S005,P0153,173,161,Fast-Moving,12
2022-00,S005,P0166,156,146,Fast-Moving,10
2022-00,S005,P0079,165,156,Fast-Moving,9
2022-00,S005,P0096,163,198,Slow-Moving,35
2022-00,S005,P0046,171,175,Slow-Moving,4
2022-01,S001,P0126,1026,190,Fast-Moving,836
2022-01,S001,P0061,994,179,Fast-Moving,815
2022-01,S001,P0069,878,92,Fast-Moving,786
2022-01,S001,P0125,1026,241,Fast-Moving,785
2022-01,S001,P0187,1014,276,Fast-Moving,738
2022-01,S001,P0159,852,133,Fast-Moving,719
2022-01,S001,P0133,827,124,Fast-Moving,703
2022-01,S001,P0066,956,273,Fast-Moving,683
2022-01,S001,P0171,846,191,Fast-Moving,655
2022-01,S001,P0016,810,162,Fast-Moving,648
2022-01,S001,P0046,792,175,Fast-Moving,617
2022-01,S001,P0031,756,153,Fast-Moving,603
2022-01,S001,P0057,788,190,Fast-Moving,598
2022-01,S001,P0096,722,129,Fast-Moving,593
2022-01,S001,P0067,686,96,Fast-Moving,590
2022-01,S001,P0094,736,174,Fast-Moving,562
2022-01,S001,P0083,679,120,Fast-Moving,559
2022-01,S001,P0116,713,165,Fast-Moving,548
2022-01,S001,P0153,710,167,Fast-Moving,543
2022-01,S001,P0166,613,86,Fast-Moving,527
2022-01,S001,P0149,585,59,Fast-Moving,526
2022-01,S001,P0129,615,97,Fast-Moving,518
2022-01,S001,P0178,688,200,Fast-Moving,488
2022-01,S001,P0068,583,118,Fast-Moving,465
2022-01,S001,P0175,564,115,Fast-Moving,449
2022-01,S001,P0183,619,178,Fast-Moving,441
2022-01,S001,P0017,604,165,Fast-Moving,439
2022-01,S001,P0079,603,182,Fast-Moving,421
2022-01,S001,P0070,524,129,Fast-Moving,395
2022-01,S001,P0085,417,45,Fast-Moving,372
2022-01,S002,P0178,1006,164,Fast-Moving,842
2022-01,S002,P0016,989,211,Fast-Moving,778
2022-01,S002,P0061,901,169,Fast-Moving,732
2022-01,S002,P0069,934,232,Fast-Moving,702
2022-01,S002,P0133,861,164,Fast-Moving,697
2022-01,S002,P0126,847,159,Fast-Moving,688
2022-01,S002,P0125,863,177,Fast-Moving,686
2022-01,S002,P0057,827,170,Fast-Moving,657
2022-01,S002,P0066,983,340,Fast-Moving,643
2022-01,S002,P0031,731,94,Fast-Moving,637
2022-01,S002,P0166,696,96,Fast-Moving,600
2022-01,S002,P0068,642,56,Fast-Moving,586
2022-01,S002,P0083,673,96,Fast-Moving,577
2022-01,S002,P0187,660,86,Fast-Moving,574
2022-01,S002,P0046,771,206,Fast-Moving,565
2022-01,S002,P0067,627,83,Fast-Moving,544
2022-01,S002,P0079,675,134,Fast-Moving,541
2022-01,S002,P0085,636,107,Fast-Moving,529
2022-01,S002,P0171,684,158,Fast-Moving,526
2022-01,S002,P0159,617,97,Fast-Moving,520
2022-01,S002,P0070,643,128,Fast-Moving,515
2022-01,S002,P0149,621,109,Fast-Moving,512
2022-01,S002,P0129,653,164,Fast-Moving,489
2022-01,S002,P0116,620,137,Fast-Moving,483
2022-01,S002,P0153,646,167,Fast-Moving,479
2022-01,S002,P0183,603,129,Fast-Moving,474
2022-01,S002,P0094,589,148,Fast-Moving,441
2022-01,S002,P0096,553,153,Fast-Moving,400
2022-01,S002,P0175,485,95,Fast-Moving,390
2022-01,S002,P0017,479,105,Fast-Moving,374
2022-01,S003,P0069,1021,207,Fast-Moving,814
2022-01,S003,P0061,985,190,Fast-Moving,795
2022-01,S003,P0016,888,142,Fast-Moving,746
2022-01,S003,P0125,863,130,Fast-Moving,733
2022-01,S003,P0178,932,199,Fast-Moving,733
2022-01,S003,P0187,867,152,Fast-Moving,715
2022-01,S003,P0133,793,122,Fast-Moving,671
2022-01,S003,P0057,828,164,Fast-Moving,664
2022-01,S003,P0126,792,135,Fast-Moving,657
2022-01,S003,P0046,799,170,Fast-Moving,629
2022-01,S003,P0116,766,140,Fast-Moving,626
2022-01,S003,P0094,726,139,Fast-Moving,587
2022-01,S003,P0171,662,85,Fast-Moving,577
2022-01,S003,P0070,688,132,Fast-Moving,556
2022-01,S003,P0067,680,129,Fast-Moving,551
2022-01,S003,P0149,854,308,Fast-Moving,546
2022-01,S003,P0085,686,155,Fast-Moving,531
2022-01,S003,P0068,617,89,Fast-Moving,528
2022-01,S003,P0175,703,180,Fast-Moving,523
2022-01,S003,P0183,595,81,Fast-Moving,514
2022-01,S003,P0153,638,133,Fast-Moving,505
2022-01,S003,P0129,596,98,Fast-Moving,498
2022-01,S003,P0066,685,198,Fast-Moving,487
2022-01,S003,P0166,655,171,Fast-Moving,484
2022-01,S003,P0096,565,82,Fast-Moving,483
2022-01,S003,P0017,587,125,Fast-Moving,462
2022-01,S003,P0079,576,137,Fast-Moving,439
2022-01,S003,P0083,635,201,Fast-Moving,434
2022-01,S003,P0159,554,145,Fast-Moving,409
2022-01,S003,P0031,455,112,Fast-Moving,343
2022-01,S004,P0126,1059,175,Fast-Moving,884
2022-01,S004,P0178,1044,162,Fast-Moving,882
2022-01,S004,P0133,980,172,Fast-Moving,808
2022-01,S004,P0066,889,116,Fast-Moving,773
2022-01,S004,P0069,1022,288,Fast-Moving,734
2022-01,S004,P0166,813,103,Fast-Moving,710
2022-01,S004,P0187,847,175,Fast-Moving,672
2022-01,S004,P0046,850,181,Fast-Moving,669
2022-01,S004,P0016,781,119,Fast-Moving,662
2022-01,S004,P0067,728,123,Fast-Moving,605
2022-01,S004,P0061,769,169,Fast-Moving,600
2022-01,S004,P0149,700,122,Fast-Moving,578
2022-01,S004,P0017,711,136,Fast-Moving,575
2022-01,S004,P0125,667,92,Fast-Moving,575
2022-01,S004,P0057,821,248,Fast-Moving,573
2022-01,S004,P0159,656,84,Fast-Moving,572
2022-01,S004,P0116,649,78,Fast-Moving,571
2022-01,S004,P0085,569,31,Fast-Moving,538
2022-01,S004,P0171,678,164,Fast-Moving,514
2022-01,S004,P0070,644,157,Fast-Moving,487
2022-01,S004,P0079,560,84,Fast-Moving,476
2022-01,S004,P0175,565,113,Fast-Moving,452
2022-01,S004,P0031,593,151,Fast-Moving,442
2022-01,S004,P0153,607,174,Fast-Moving,433
2022-01,S004,P0096,620,192,Fast-Moving,428
2022-01,S004,P0183,545,144,Fast-Moving,401
2022-01,S004,P0129,555,159,Fast-Moving,396
2022-01,S004,P0083,623,239,Fast-Moving,384
2022-01,S004,P0094,604,225,Fast-Moving,379
2022-01,S004,P0068,536,167,Fast-Moving,369
2022-01,S005,P0057,1129,193,Fast-Moving,936
2022-01,S005,P0125,1031,165,Fast-Moving,866
2022-01,S005,P0066,1006,161,Fast-Moving,845
2022-01,S005,P0046,910,80,Fast-Moving,830
2022-01,S005,P0126,1046,223,Fast-Moving,823
2022-01,S005,P0178,1036,265,Fast-Moving,771
2022-01,S005,P0133,975,224,Fast-Moving,751
2022-01,S005,P0094,846,106,Fast-Moving,740
2022-01,S005,P0061,934,199,Fast-Moving,735
2022-01,S005,P0016,942,212,Fast-Moving,730
2022-01,S005,P0069,977,284,Fast-Moving,693
2022-01,S005,P0017,805,157,Fast-Moving,648
2022-01,S005,P0187,873,238,Fast-Moving,635
2022-01,S005,P0171,721,141,Fast-Moving,580
2022-01,S005,P0129,682,107,Fast-Moving,575
2022-01,S005,P0067,670,104,Fast-Moving,566
2022-01,S005,P0116,720,159,Fast-Moving,561
2022-01,S005,P0166,643,89,Fast-Moving,554
2022-01,S005,P0153,710,170,Fast-Moving,540
2022-01,S005,P0183,738,210,Fast-Moving,528
2022-01,S005,P0175,641,120,Fast-Moving,521
2022-01,S005,P0085,601,118,Fast-Moving,483
2022-01,S005,P0031,640,158,Fast-Moving,482
2022-01,S005,P0068,567,86,Fast-Moving,481
2022-01,S005,P0159,666,186,Fast-Moving,480
2022-01,S005,P0079,736,264,Fast-Moving,472
2022-01,S005,P0096,635,165,Fast-Moving,470
2022-01,S005,P0070,591,137,Fast-Moving,454
2022-01,S005,P0083,658,205,Fast-Moving,453
2022-01,S005,P0149,580,182,Fast-Moving,398
2022-02,S001,P0178,990,96,Fast-Moving,894
2022-02,S001,P0069,986,134,Fast-Moving,852
2022-02,S001,P0187,973,158,Fast-Moving,815
2022-02,S001,P0057,975,165,Fast-Moving,810
2022-02,S001,P0125,921,191,Fast-Moving,730
2022-02,S001,P0046,806,77,Fast-Moving,729
2022-02,S001,P0085,895,210,Fast-Moving,685
2022-02,S001,P0149,832,152,Fast-Moving,680
2022-02,S001,P0016,806,132,Fast-Moving,674
2022-02,S001,P0133,847,198,Fast-Moving,649
2022-02,S001,P0083,738,111,Fast-Moving,627
2022-02,S001,P0066,797,203,Fast-Moving,594
2022-02,S001,P0126,710,119,Fast-Moving,591
2022-02,S001,P0061,676,109,Fast-Moving,567
2022-02,S001,P0129,669,105,Fast-Moving,564
2022-02,S001,P0017,699,138,Fast-Moving,561
2022-02,S001,P0031,730,170,Fast-Moving,560
2022-02,S001,P0067,668,126,Fast-Moving,542
2022-02,S001,P0183,622,92,Fast-Moving,530
2022-02,S001,P0079,629,111,Fast-Moving,518
2022-02,S001,P0166,556,86,Fast-Moving,470
2022-02,S001,P0116,629,163,Fast-Moving,466
2022-02,S001,P0096,626,176,Fast-Moving,450
2022-02,S001,P0070,501,63,Fast-Moving,438
2022-02,S001,P0094,600,179,Fast-Moving,421
2022-02,S001,P0159,590,169,Fast-Moving,421
2022-02,S001,P0153,558,153,Fast-Moving,405
2022-02,S001,P0171,559,158,Fast-Moving,401
2022-02,S001,P0068,512,133,Fast-Moving,379
2022-02,S001,P0175,446,141,Fast-Moving,305
2022-02,S002,P0125,987,84,Fast-Moving,903
2022-02,S002,P0133,949,132,Fast-Moving,817
2022-02,S002,P0057,933,126,Fast-Moving,807
2022-02,S002,P0061,884,80,Fast-Moving,804
2022-02,S002,P0016,918,116,Fast-Moving,802
2022-02,S002,P0178,852,130,Fast-Moving,722
2022-02,S002,P0126,792,107,Fast-Moving,685
2022-02,S002,P0066,757,112,Fast-Moving,645
2022-02,S002,P0069,799,156,Fast-Moving,643
2022-02,S002,P0046,866,235,Fast-Moving,631
2022-02,S002,P0166,661,37,Fast-Moving,624
2022-02,S002,P0187,755,134,Fast-Moving,621
2022-02,S002,P0017,816,219,Fast-Moving,597
2022-02,S002,P0159,655,58,Fast-Moving,597
2022-02,S002,P0094,693,135,Fast-Moving,558
2022-02,S002,P0031,663,116,Fast-Moving,547
2022-02,S002,P0153,710,168,Fast-Moving,542
2022-02,S002,P0070,618,95,Fast-Moving,523
2022-02,S002,P0083,575,53,Fast-Moving,522
2022-02,S002,P0149,694,179,Fast-Moving,515
2022-02,S002,P0171,613,116,Fast-Moving,497
2022-02,S002,P0183,637,153,Fast-Moving,484
2022-02,S002,P0085,613,133,Fast-Moving,480
2022-02,S002,P0116,614,140,Fast-Moving,474
2022-02,S002,P0079,589,119,Fast-Moving,470
2022-02,S002,P0096,673,209,Fast-Moving,464
2022-02,S002,P0067,551,190,Fast-Moving,361
2022-02,S002,P0068,479,119,Fast-Moving,360
2022-02,S002,P0129,492,154,Fast-Moving,338
2022-02,S002,P0175,484,167,Fast-Moving,317
2022-02,S003,P0126,1056,85,Fast-Moving,971
2022-02,S003,P0016,989,105,Fast-Moving,884
2022-02,S003,P0057,1003,145,Fast-Moving,858
2022-02,S003,P0178,1070,212,Fast-Moving,858
2022-02,S003,P0187,980,125,Fast-Moving,855
2022-02,S003,P0133,954,192,Fast-Moving,762
2022-02,S003,P0069,951,193,Fast-Moving,758
2022-02,S003,P0125,1020,264,Fast-Moving,756
2022-02,S003,P0046,874,170,Fast-Moving,704
2022-02,S003,P0083,797,104,Fast-Moving,693
2022-02,S003,P0061,874,208,Fast-Moving,666
2022-02,S003,P0079,747,86,Fast-Moving,661
2022-02,S003,P0085,715,57,Fast-Moving,658
2022-02,S003,P0031,720,124,Fast-Moving,596
2022-02,S003,P0096,679,108,Fast-Moving,571
2022-02,S003,P0175,702,140,Fast-Moving,562
2022-02,S003,P0171,647,89,Fast-Moving,558
2022-02,S003,P0129,683,130,Fast-Moving,553
2022-02,S003,P0116,649,129,Fast-Moving,520
2022-02,S003,P0070,677,175,Fast-Moving,502
2022-02,S003,P0067,586,102,Fast-Moving,484
2022-02,S003,P0149,549,90,Fast-Moving,459
2022-02,S003,P0066,682,229,Fast-Moving,453
2022-02,S003,P0017,572,123,Fast-Moving,449
2022-02,S003,P0094,610,168,Fast-Moving,442
2022-02,S003,P0068,548,115,Fast-Moving,433
2022-02,S003,P0159,582,176,Fast-Moving,406
2022-02,S003,P0153,539,163,Fast-Moving,376
2022-02,S003,P0166,463,161,Fast-Moving,302
2022-02,S003,P0183,419,160,Fast-Moving,259
2022-02,S004,P0061,1095,135,Fast-Moving,960
2022-02,S004,P0133,1103,239,Fast-Moving,864
2022-02,S004,P0016,1014,156,Fast-Moving,858
2022-02,S004,P0178,909,145,Fast-Moving,764
2022-02,S004,P0187,868,136,Fast-Moving,732
2022-02,S004,P0057,913,195,Fast-Moving,718
2022-02,S004,P0126,831,121,Fast-Moving,710
2022-02,S004,P0046,797,96,Fast-Moving,701
2022-02,S004,P0069,844,159,Fast-Moving,685
2022-02,S004,P0066,771,141,Fast-Moving,630
2022-02,S004,P0129,771,162,Fast-Moving,609
2022-02,S004,P0149,682,92,Fast-Moving,590
2022-02,S004,P0116,669,81,Fast-Moving,588
2022-02,S004,P0125,745,191,Fast-Moving,554
2022-02,S004,P0094,711,168,Fast-Moving,543
2022-02,S004,P0083,704,164,Fast-Moving,540
2022-02,S004,P0159,690,160,Fast-Moving,530
2022-02,S004,P0070,670,145,Fast-Moving,525
2022-02,S004,P0079,666,151,Fast-Moving,515
2022-02,S004,P0031,712,197,Fast-Moving,515
2022-02,S004,P0017,593,98,Fast-Moving,495
2022-02,S004,P0067,657,166,Fast-Moving,491
2022-02,S004,P0183,589,131,Fast-Moving,458
2022-02,S004,P0096,536,90,Fast-Moving,446
2022-02,S004,P0068,521,89,Fast-Moving,432
2022-02,S004,P0166,433,24,Fast-Moving,409
2022-02,S004,P0171,540,147,Fast-Moving,393
2022-02,S004,P0085,534,156,Fast-Moving,378
2022-02,S004,P0153,540,195,Fast-Moving,345
2022-02,S004,P0175,473,157,Fast-Moving,316
2022-02,S005,P0046,1134,187,Fast-Moving,947
2022-02,S005,P0187,1027,172,Fast-Moving,855
2022-02,S005,P0125,961,110,Fast-Moving,851
2022-02,S005,P0133,940,169,Fast-Moving,771
2022-02,S005,P0178,918,162,Fast-Moving,756
2022-02,S005,P0061,867,193,Fast-Moving,674
2022-02,S005,P0057,735,62,Fast-Moving,673
2022-02,S005,P0126,845,184,Fast-Moving,661
2022-02,S005,P0069,752,95,Fast-Moving,657
2022-02,S005,P0094,766,110,Fast-Moving,656
2022-02,S005,P0149,799,152,Fast-Moving,647
2022-02,S005,P0017,771,193,Fast-Moving,578
2022-02,S005,P0129,767,191,Fast-Moving,576
2022-02,S005,P0016,756,184,Fast-Moving,572
2022-02,S005,P0085,643,92,Fast-Moving,551
2022-02,S005,P0066,712,176,Fast-Moving,536
2022-02,S005,P0166,645,121,Fast-Moving,524
2022-02,S005,P0183,662,154,Fast-Moving,508
2022-02,S005,P0175,599,105,Fast-Moving,494
2022-02,S005,P0067,616,144,Fast-Moving,472
2022-02,S005,P0171,609,144,Fast-Moving,465
2022-02,S005,P0068,539,79,Fast-Moving,460
2022-02,S005,P0159,610,150,Fast-Moving,460
2022-02,S005,P0096,621,173,Fast-Moving,448
2022-02,S005,P0153,561,131,Fast-Moving,430
2022-02,S005,P0079,550,126,Fast-Moving,424
2022-02,S005,P0070,501,82,Fast-Moving,419
2022-02,S005,P0031,577,161,Fast-Moving,416
2022-02,S005,P0083,490,84,Fast-Moving,406
2022-02,S005,P0116,495,187,Fast-Moving,308
2022-03,S001,P0016,1150,193,Fast-Moving,957
2022-03,S001,P0046,1117,186,Fast-Moving,931
2022-03,S001,P0133,957,113,Fast-Moving,844
2022-03,S001,P0057,964,166,Fast-Moving,798
2022-03,S001,P0066,957,177,Fast-Moving,780
2022-03,S001,P0125,866,136,Fast-Moving,730
2022-03,S001,P0083,811,88,Fast-Moving,723
2022-03,S001,P0126,984,281,Fast-Moving,703
2022-03,S001,P0061,841,142,Fast-Moving,699
2022-03,S001,P0187,882,203,Fast-Moving,679
2022-03,S001,P0069,742,96,Fast-Moving,646
2022-03,S001,P0171,793,159,Fast-Moving,634
2022-03,S001,P0183,833,228,Fast-Moving,605
2022-03,S001,P0129,673,100,Fast-Moving,573
2022-03,S001,P0149,689,131,Fast-Moving,558
2022-03,S001,P0175,637,87,Fast-Moving,550
2022-03,S001,P0017,637,88,Fast-Moving,549
2022-03,S001,P0166,709,168,Fast-Moving,541
2022-03,S001,P0070,626,103,Fast-Moving,523
2022-03,S001,P0079,638,125,Fast-Moving,513
2022-03,S001,P0116,555,62,Fast-Moving,493
2022-03,S001,P0068,625,135,Fast-Moving,490
2022-03,S001,P0178,606,133,Fast-Moving,473
2022-03,S001,P0067,585,134,Fast-Moving,451
2022-03,S001,P0159,584,143,Fast-Moving,441
2022-03,S001,P0085,601,168,Fast-Moving,433
2022-03,S001,P0031,607,187,Fast-Moving,420
2022-03,S001,P0094,567,156,Fast-Moving,411
2022-03,S001,P0096,516,110,Fast-Moving,406
2022-03,S001,P0153,439,169,Fast-Moving,270
2022-03,S002,P0125,1164,179,Fast-Moving,985
2022-03,S002,P0057,1021,124,Fast-Moving,897
2022-03,S002,P0069,1039,163,Fast-Moving,876
2022-03,S002,P0066,982,148,Fast-Moving,834
2022-03,S002,P0187,944,150,Fast-Moving,794
2022-03,S002,P0133,980,258,Fast-Moving,722
2022-03,S002,P0046,991,286,Fast-Moving,705
2022-03,S002,P0178,918,215,Fast-Moving,703
2022-03,S002,P0159,709,56,Fast-Moving,653
2022-03,S002,P0067,715,71,Fast-Moving,644
2022-03,S002,P0061,837,195,Fast-Moving,642
2022-03,S002,P0126,756,184,Fast-Moving,572
2022-03,S002,P0166,713,142,Fast-Moving,571
2022-03,S002,P0070,675,122,Fast-Moving,553
2022-03,S002,P0096,675,127,Fast-Moving,548
2022-03,S002,P0031,736,212,Fast-Moving,524
2022-03,S002,P0016,794,271,Fast-Moving,523
2022-03,S002,P0149,697,180,Fast-Moving,517
2022-03,S002,P0171,724,209,Fast-Moving,515
2022-03,S002,P0153,679,165,Fast-Moving,514
2022-03,S002,P0068,591,88,Fast-Moving,503
2022-03,S002,P0183,637,142,Fast-Moving,495
2022-03,S002,P0017,592,111,Fast-Moving,481
2022-03,S002,P0175,708,228,Fast-Moving,480
2022-03,S002,P0094,686,208,Fast-Moving,478
2022-03,S002,P0079,580,126,Fast-Moving,454
2022-03,S002,P0116,538,88,Fast-Moving,450
2022-03,S002,P0085,524,86,Fast-Moving,438
2022-03,S002,P0083,617,191,Fast-Moving,426
2022-03,S002,P0129,466,170,Fast-Moving,296
2022-03,S003,P0187,1091,199,Fast-Moving,892
2022-03,S003,P0046,1007,161,Fast-Moving,846
2022-03,S003,P0069,933,137,Fast-Moving,796
2022-03,S003,P0066,1031,260,Fast-Moving,771
2022-03,S003,P0126,983,218,Fast-Moving,765
2022-03,S003,P0125,905,174,Fast-Moving,731
2022-03,S003,P0178,822,125,Fast-Moving,697
2022-03,S003,P0016,817,150,Fast-Moving,667
2022-03,S003,P0133,862,197,Fast-Moving,665
2022-03,S003,P0061,794,130,Fast-Moving,664
2022-03,S003,P0057,853,216,Fast-Moving,637
2022-03,S003,P0153,712,101,Fast-Moving,611
2022-03,S003,P0175,661,75,Fast-Moving,586
2022-03,S003,P0166,741,160,Fast-Moving,581
2022-03,S003,P0149,718,145,Fast-Moving,573
2022-03,S003,P0096,652,95,Fast-Moving,557
2022-03,S003,P0094,714,175,Fast-Moving,539
2022-03,S003,P0067,634,100,Fast-Moving,534
2022-03,S003,P0017,587,78,Fast-Moving,509
2022-03,S003,P0183,667,206,Fast-Moving,461
2022-03,S003,P0083,619,162,Fast-Moving,457
2022-03,S003,P0031,666,212,Fast-Moving,454
2022-03,S003,P0079,566,118,Fast-Moving,448
